Article,Noun,Translation,Traducción,Level
Die,Anrufbeantworter,Answering Machines,Contestadores,A2
Die,Ansagen,Advertisements,Anuncios,A2
Die,Anschlüsse,Connections,Conexiones,A2
Die,Antworten,Answers,Respuestas,A2
Die,Anzeigen,Advertisements,Anuncios,A2
Die,Apartments,Departments,Departamentos,A2
Die,Äpfel,Apples,Manzanas,A2
Die,Appetite,Appetites,Apetitos,A2
Die,Arbeiten,Jobs,Trabajos,A2
Die,Arbeitsplätze,Jobs,Empleos,A2
Die,Arme,Arms,Brazos,A2
Die,Ärzte,Doctors,Médicos,A2
Die,Aufgaben,Chores,Tareas,A2
Die,Aufzüge,Elevators,Ascensores,A2
Die,Augen,Eyes,Ojos,A2
Die,Ausflüge,Excursions,Excursiones,A2
Die,Ausgänge,Departures,Salidas,A2
Die,Auskünfte,Information,Informaciones,A2
Der,Ausländer,Foreign,Extranjero,A2
Die,Aussagen,Statements,Declaraciones,A2
Die,Ausweise,Identificationes,Identificationes,A2
Die,Autobahnen,Freeways,Autopistas,A2
Die,Automaten,Cashiers,Cajeros,A2
Die,Autos,Cars,Autos,A2
Die,Bäckereien,Bakeries,Panaderías,A2
Die,Bäder,Bathrooms,Baños,A2
Die,Bahnen,Trains,Trenes,A2
Die,Bahnhöfe,Seasons,Estaciones,A2
Die,Bahnsteige,Platforms,Andenes,A2
Die,Balkons,Balconies,Balcones,A2
Die,Bananen,Bananas,Bananas,A2
Die,Bänke,Banks,Bancos,A2
Die,Bäuche,Bellies,Barrigas,A2
Die,Bäume,Trees,Árboles,A2
Die,Beamten,Officials,Funcionarios,A2
Die,Beine,Legs,Piernas,A2
Die,Beispiele,Examples,Ejemplos,A2
Die,Bekannten,Acquaintances,Conocidos,A2
Die,Berufe,Professions,Profesiones,A2
Die,Betten,Beds,Camas,A2
Die,Biere,Beers,Cervezas,A2
Die,Birnen,Pears,Peras,A2
Die,Bitten,Favors,Favores,A2
Die,Bleistifte,Pencils,Lápices,A2
Die,Blicke,Looks,Miradas,A2
Die,Blumen,Flowers,Flores,A2
Die,Bögen,Bows,Arcos,A2
Die,Briefe,Letters,Cartas,A2
Die,Briefmarken,Seals,Sellos,A2
Die,Brötchen,Buns,Pancitos,A2
Die,Brote,Breads,Panes,A2
Die,Bücher,Books,Libros,A2
Die,Buchstaben,Letters,Letras,A2
Die,Büros,Offices,Oficinas,A2
Die,Cafés,Coffee Shops,Cafeterías,A2
Die,CDs,Cds,Cds,A2
Die,Chefs,Bosses,Jefes,A2
Die,Computer,Computers,Computadoras,A2
Die,Cremes,Creams,Cremas,A2
Die,Dächer,Roofs,Techos,A2
Die,Damen,Lady,Dama,A2
Das,Alter,Age,Edad,A2
Das,Angebot,Offer,Oferta,A2
Das,Apartment,Department,Departamento,A2
Das,Auge,Eye,Ojo,A2
Das,Auto,Car,Auto,A2
Das,Bad,Bathroom,Baño,A2
Das,Bein,Leg,Pierna,A2
Das,Beispiel,Example,Ejemplo,A2
Das,Bett,Bed,Cama,A2
Das,Bier,Beer,Cerveza,A2
Das,Brot,Bread,Pan,A2
Das,Brötchen,Bread,Pancito,A2
Das,Buch,Book,Libro,A2
Das,Büro,The Office,La Oficina,A2
Das,Café,Coffee Shop,Cafetería,A2
Das,Dach,The Ceiling,Techo,A2
Das,Datum,Date,Fecha,A2
Das,Doppelzimmer,Double Room,Habitación Doble,A2
Das,Dorf,Village,Pueblo,A2
Das,Ei,Egg,Huevo,A2
Das,Einzelzimmer,Single Room,Habitación Simple,A2
Das,Eis,Ice Cream,Helado,A2
Das,Ende,Final,Final,A2
Das,Erdgeschoss,Low Level,Planta Baja,A2
Das,Ergebnis,Outcome,Resultado,A2
Das,Essen,Food,Comida,A2
Das,Fahrrad,Bike,Bicicleta,A2
Das,Fax,Fax,Fax,A2
Das,Fenster,Window,Ventana,A2
Das,Fernsehgerät,Tv,Televisión,A2
Das,Fest,Party,Fiesta,A2
Das,Feuer,Fire,Fuego,A2
Das,Feuerzeug,Lighter,Encendedor,A2
Das,Fieber,Fever,Fiebre,A2
Das,Fleisch,Meat,Carne,A2
Das,Flugzeug,Plane,Avión,A2
Das,Formular,Form,Formulario,A2
Das,Foto,Photo,Foto,A2
Das,Frühstück,Breakfast,Desayuno,A2
Das,Fundbüro,Lostandfound,Lostandfound,A2
Das,Gas,Gas,Gas,A2
Das,Geburtsjahr,Year Of Birth,Año De Nacimiento,A2
Das,Gegenteil,Opposite,Opuesto,A2
Das,Geld,Money,Dinero,A2
Das,Gemüse,Vegetable,Verdura,A2
Das,Gepäck,Luggage,Equipaje,A2
Das,Geschäft,Deal,Negocio,A2
Das,Geschenk,Present,Regalo,A2
Das,Geschirr,Crockery,Vajilla,A2
Das,Gesicht,Face,Rostro,A2
Das,Gespräch,Conversation,Conversación,A2
Das,Getränk,Drink,Bebida,A2
Das,Gewicht,Weight,Peso,A2
Das,Gewitter,Storm,Tormenta,A2
Das,Glas,Cup,Vaso,A2
Das,Gleis,Via,Vía,A2
Das,Glück,Luck,Suerte,A2
Das,Haar,Hair,Pelo,A2
Das,Hähnchen,Chicken,Pollo,A2
Das,Handtuch,Towel,Toalla,A2
Das,Handy,Cell Phone,Celular,A2
Das,Haus,House,Casa,A2
Das,Hemd,Shirt,Camisa,A2
Das,Herz,Heart,Corazón,A2
Das,Hobby,Hobby,Pasatiempo,A2
Das,Holz,Wood,Madera,A2
Das,Hotel,Hotel,Hotel,A2
Das,Internet,Internet,Internet,A2
Das,KFZ,Vehicle,Vehículo,A2
Das,Kind,Child,Niñx,A2
Das,Kino,Cinema,Cine,A2
Das,Kleid,Dress,Vestido,A2
Das,Konsulat,Consulate,Consulado,A2
Das,Konto,Bill,Cuenta,A2
Das,Lager,Deposit,Depósito,A2
Das,Land,Country,País,A2
Das,Leben,Lifetime,Vida,A2
Das,Licht,Light,Luz,A2
Das,Lied,Song,Canción,A2
Das,Loch,Hole,Agujero,A2
Das,Lokal,Local,Local,A2
Das,Mädchen,Girl,Chica,A2
Das,Mal,Time,Vez,A2
Das,Material,Material,Material,A2
Das,Medikament,Medicine,Medicamento,A2
Das,Meer,Sea,Mar,A2
Das,Messer,Knife,Cuchillo,A2
Das,Metall,Metal,Metal,A2
Das,Mittel,Half,Mitad,A2
Das,Museum,Museum,Museo,A2
Das,Obst,Fruit,Fruta,A2
Das,Öl,Oil,Aceite,A2
Das,Päckchen,Wrapper,Envoltorio,A2
Das,Paket,Package,Paquete,A2
Das,Papier,Paper,Papel,A2
Das,Parfüm,Fragrance,Perfume,A2
Das,Plastik,Plastic,Plástico,A2
Das,Praktikum,Internships,Pasantías,A2
Das,Problem,Problem,Problema,A2
Das,Produkt,Product,Producto,A2
Das,Programm,Program,Programa,A2
Das,Radio,Radio,Radio,A2
Das,Rathaus,Town Hall,Ayuntamiento,A2
Das,Reisebüro,Travel Agency,Agencia De Viaje,A2
Das,Restaurant,Restaurant,Restaurante,A2
Das,Rezept,Recipe,Receta,A2
Das,Rind,Beef,Carne Vacuna,A2
Das,Salz,Salt,Sal,A2
Das,Schiff,Boat,Enbarcación,A2
Das,Schild,Poster,Cartel,A2
Das,Schloss,Padlock,Candado,A2
Das,Schwein,Pork,Cerdo,A2
Das,Schwimmbad,Swimming Pool,Picina,A2
Das,Sofa,Sofa,Sofá,A2
Das,Sonderangebot,Offer,Oferta,A2
Das,Standesamt,Registration Office,Oficina De Registro,A2
Das,Streichholz,Match,Fósforo,A2
Das,Stück,Piece,Pedazo,A2
Das,Studium,Career,Carrera,A2
Das,Taxi,Cab,Taxi,A2
Das,Telefon,Telephone,Teléfono,A2
Das,Telefonbuch,Phone Book,Directorio Telefónico,A2
Das,Theater,Theater,Teatro,A2
Das,Thema,Topic,Tema,A2
Das,Ticket,Ticket,Boleto,A2
Das,Tier,Animal,Animal,A2
Das,Trinkgeld,Tip,Propina,A2
Das,Video,Video,Video,A2
Das,Wasser,Water,Agua,A2
Das,Werkzeug,Tool,Herramienta,A2
Das,Wetter,Weather,Tiempo,A2
Das,Wiederhören,Goodbye,Adiós,A2
Das,Wiedersehen,Goodbye,Adiós,A2
Das,Wort,Word,Palabra,A2
Das,Zentrum,Center,Centro,A2
Das,Zeugnis,Note,Nota,A2
Das,Zimmer,Room,Habitación,A2
Die,Daten,Dates,Fechas,A2
Der,Abflug,Takeoff,Despegue,A2
Der,Absender,Sender,Remitente,A2
Der,Anfang,Start,Comienzo,A2
Der,Anruf,Call,Llamada,A2
Der,Anrufbeantworter,Answering Machine,Contestador,A2
Der,Anschluss,Connection,Conexción,A2
Der,Apfel,Apple,Manzana,A2
Der,Appetit,Appetite,Apetito,A2
Der,Arbeitsplatz,Job,Empleo,A2
Der,Arm,Arm,Brazo,A2
Der,Arzt,Doctor,Médico,A2
Der,Aufzug,Lift,Ascensor,A2
Der,Ausflug,Excursion,Excursión,A2
Der,Ausgang,Departure,Salida,A2
Der,Ausländer,Foreign,Extranjero,A2
Der,Ausweis,Id,Identificación,A2
Der,Automat,Atm,Cajero,A2
Der,Bahnhof,Train Station,Estación De Trenes,A2
Der,Bahnsteig,Platform,Andén,A2
Der,Balkon,Balcony,Balcón,A2
Der,Bauch,Belly,Barriga,A2
Der,Baum,Tree,Árbol,A2
Der,Beamte,Official,Funcionario,A2
Der,Beruf,Profession,Profesión,A2
Der,Bleistift,Pencil,Lápiz,A2
Der,Blick,Look,Mirada,A2
Der,Bogen,Arc,Arco,A2
Der,Brief,Letter,Carta,A2
Der,Buchstabe,Lyrics,Letra,A2
Der,Chef,Chief,Jefe,A2
Der,Computer,Computer,Computadora,A2
Der,Dank,Gratitude,Agradecimiento,A2
Der,Diesel,Diesel,El Gasóleo,A2
Der,Doktor,Doctor,Doctor,A2
Der,Drucker,Printer,Impresora,A2
Der,Durst,Thirst,Sed,A2
Der,Ehemann,Husband,Esposo,A2
Der,Eingang,Entry,Entrada,A2
Der,Eintritt,Entry,Entrada,A2
Der,Einwohner,Habitant,Habitante,A2
Der,Empfang,Reception,Recepción,A2
Der,Empfänger,Recipient,Destinario,A2
Der,Enkel,Grandchild,Nieto,A2
Der,Erwachsene,Adult,Adulto,A2
Der,Export,Export,Exportación,A2
Der,Fahrer,Driver,Conductor,A2
Der,Fahrplan,Schedule,Horario,A2
Der,Familienname,Last Name,Apellido,A2
Der,Familienstand,Civil Status,Estado Civil,A2
Der,Fehler,Error,Error,A2
Der,Feierabend,End Of Working Day,Fin De Jornada Laboral,A2
Der,Feiertag,Holiday,Feriado,A2
Der,Film,Movie,Película,A2
Der,Fisch,Fish,Pez,A2
Der,Flughafen,Airport,Aeropuerto,A2
Der,Flur,Hall,Pasillo,A2
Der,Fluss,River,Río,A2
Der,Fotoapparat,Camera,Camara,A2
Der,Freund,Friend,Amigo,A2
Der,Führerschein,License,Licencia,A2
Der,Fuß,Foot,Pie,A2
Der,Fußball,Ball,Pelota,A2
Der,Garten,Yard,Jardín,A2
Der,Gast,Invited,Invitado,A2
Der,Geburtsort,Place Of Birth,Lugar De Nacimiento,A2
Der,Geburtstag,Birthday,Cumpleaños,A2
Der,Geldautomat,Atm,Cajero,A2
Der,Glückwunsch,Congratulations,Felicitaciones,A2
Der,Großvater,Grandfather,Abuelo,A2
Der,Gruß,Greeting,Saludo,A2
Der,Hals,Neck,Cuello,A2
Der,Haushalt,Home,Hogar,A2
Der,Hausmann,Househusband,Amo De Casa,A2
Der,Herd,Kitchen,Cocina,A2
Der,Herr,Sir,Señor,A2
Der,Hund,Dog,Perro,A2
Der,Hunger,Hungry,Hambre,A2
Der,Import,Import,Importación,A2
Der,Inhalt,Content,Contenido,A2
Der,Job,Job,Trabajo,A2
Der,Jugendliche,Adolescent,Adolecente,A2
Der,Junge,Boy,Chico,A2
Der,Kaffee,Coffee,Café,A2
Der,Kalender,Calendar,Calendario,A2
Der,Käse,Cheese,Queso,A2
Der,Kassettenrecorder,Player,Reproductor,A2
Der,Keller,Basement,Sótano,A2
Der,Kellner,Waiter,Mozo,A2
Der,Kindergarten,Kinder Garden,Jardín Infantil,A2
Der,Kinderwagen,Stroller (Pram),Cochecito (Pram),A2
Der,Kiosk,Kiosk,Quiosco,A2
Der,Koffer,Suitcase,Valija,A2
Der,Kollege,Colleague,Colega,A2
Der,Kontakt,Contact,Contacto,A2
Der,Kopf,Head,Cabeza,A2
Der,Körper,Body,Cuerpo,A2
Der,Kredit,Credit,Crédito,A2
Der,Kreis,Cycle,Cíclo,A2
Der,Kuchen,Cake,Pastel,A2
Der,Kugelschreiber,Pen,Birome,A2
Der,Kühlschrank,Refrigerator,Heladera,A2
Der,Kunde,Client,Cliente,A2
Der,Kurs,Course,Curso,A2
Der,Laden,Store,Tienda,A2
Der,Lehrer,Teacher,Maestro,A2
Der,Lastkrafwagen,Truck,Camión,A2
Der,Löffel,Spoon,Cuchara,A2
Der,Lohn,Salary,Sueldo,A2
Der,Magen,Stomach,Estómago,A2
Der,Mann,Man,Hombre,A2
Der,Mantel,Jacket,Campera,A2
Der,Markt,Market,Mercado,A2
Der,Mechaniker,Mechanic,Mecánico,A2
Der,Mensch,Man,Hombre,A2
Der,Moment,Moment,Momento,A2
Der,Motor,Motor,Motor,A2
Der,Müll,Waste,Residuos,A2
Der,Mund,Mouth,Boca,A2
Der,Nachbar,Neighbour,Vecino,A2
Der,Name,Name,Nombre,A2
Der,Nebel,Fog,Neblina,A2
Der,Notarzt,Doctor,Médico,A2
Der,Notfall,Emergency,Emergencia,A2
Der,Ober,Oil,Aceite,A2
Der,Opa,Grandfather,Abuelo,A2
Der,Ort,Site,Sitio,A2
Der,Park,Park,Parque,A2
Der,Partner,Partner,Compañero,A2
Der,Pass,Passport,Pasaporte,A2
Der,Personenkraftwagen,Car,Coche,A2
Der,Plan,Plan,Plan,A2
Der,Platz,Square,Plaza,A2
Der,Preis,Price,Precio,A2
Der,Prospekt,User Information,Folleto,A2
Der,Pullover,Pullover,Pullover,A2
Der,Rabatt,Discount,Descuento,A2
Der,Raucher,Smoker,Fumador,A2
Der,Raum,Fourth,Cuarto,A2
Der,Regen,Rain,Lluvia,A2
Der,Reifen,Mature,Maduro,A2
Der,Reis,Rice,Arroz,A2
Der,Reiseführer,Tour Guide,Guía Turístico,A2
Der,Rock,Skirt,Pollera,A2
Der,Rücken,Rear,Parte Trasera,A2
Der,Rundgang,Excursion,Excursión,A2
Der,Saft,Juice,Jugo,A2
Der,Salat,Salad,Ensalada,A2
Der,Satz,Sentence,Oración,A2
Der,Schalter,Counter,Mostrador,A2
Der,Schinken,Ham,Jamón,A2
Der,Schirm,Screen,Pantalla,A2
Der,Schluss,Closing,Cierre,A2
Der,Schlüssel,Key,Llave,A2
Der,Schnee,Snow,Nieve,A2
Der,Schnupfen,Cold,Resfriado,A2
Der,Schrank,Wardrobe,Armario,A2
Der,Schuh,Shoe,Zapato,A2
Der,Schüler,Student,Alumno,A2
Der,See,Lake,Lago,A2
Der,Service,Service,Servicio,A2
Der,Sessel,Armchair,Sillón,A2
Der,Sohn,Son,Hijo,A2
Der,Spaß,Fun,Diversión,A2
Der,Spaziergang,Hike,Caminata,A2
Der,Spielplatz,Play Ground,Patio De Juego,A2
Der,Sport,Sport,Deporte,A2
Der,Stock,Plant,Planta,A2
Der,Stoff,Material,Material,A2
Der,Strand,Beach,Playa,A2
Der,Strom,Electricity,Electricidad,A2
Der,Student,Student,Estudiante,A2
Der,Stuhl,Chair,Silla,A2
Der,Supermarkt,Supermarket,Supermercado,A2
Der,Tee,Tea,Té,A2
Der,Teil,Art,Arte,A2
Der,Teller,Plate,Plato,A2
Der,Teppich,Carpet,Alfombra,A2
Der,Termin,Appointment,Cita,A2
Der,Test,Proof,Prueba,A2
Der,Tipp,Tip,Propina,A2
Der,Tisch,Table,Mesa,A2
Der,Topf,Pot,Pote,A2
Der,Tourist,Tourist,Turista,A2
Der,Turm,Tower,Torre,A2
Der,Unfall,Accident,Accidente,A2
Der,Unterricht,Lessons,Clases,A2
Der,Unterschied,Unevenness,Desnivel,A2
Der,Urlaub,Holidays,Vacaciones,A2
Der,Vater,Father,Padre,A2
Der,Verein,Club,Club,A2
Der,Verkäufer,Seller,Vendedor,A2
Der,Verkehr,Traffic,Tráfico,A2
Der,Vermieter,Tenant,Locatario,A2
Der,Vertrag,Rental Contract,Contrato De Alquiler,A2
Der,Verwandte,Relative,Pariente,A2
Der,Vogel,Bird,Ave,A2
Der,Vorname,Name,Nombre,A2
Der,Wagen,Vehicle,Vehículo,A2
Der,Wald,Forest,Bosque,A2
Der,Weg,Via,Vía,A2
Der,Wein,Came,Vino,A2
Der,Wind,Wind,Viento,A2
Der,Wunsch,Wish,Deseo,A2
Der,Zahn,Tooth,Diente,A2
Der,Zettel,Note,Nota,A2
Der,Zoll,Customs,Aduana,A2
Der,Bekannte,Known,Conocido,A2
Die,Abfahrt,Departure,Salida,A2
Die,Abfahrten,Departure,Salida,A2
Die,Absender,Sender,Remitente,A2
Die,Adresse,Direction,Dirección,A2
Die,Adressen,Direction,Dirección,A2
Die,Anfänge,Start,Comienzo,A2
Die,Angebote,Offer,Oferta,A2
Die,Ankunft,Arrival,Llegada,A2
Die,Ankünfte,Arrival,Llegada,A2
Die,Anmeldung,Registry,Registro,A2
Die,Anmeldungen,Registry,Registro,A2
Die,Anrede,Treatment,Tratamiento,A2
Die,Anreden,Treatment,Tratamiento,A2
Die,Anrufe,Call,Llamada,A2
Die,Ansage,Ad,Anuncio,A2
Die,Antwort,Reply,Respuesta,A2
Die,Anzeige,Ad,Anuncio,A2
Die,Arbeit,Job,Trabajo,A2
Die,Aufgabe,Task,Tarea,A2
Die,Ausflüge,Takeoff,Despegue,A2
Die,Auskunft,Information,Información,A2
Die,Aussage,Statement,Declaración,A2
Die,Autobahn,Highway,Autopista,A2
Die,Bäckerei,Bakery,Panadería,A2
Die,Bahn,Train,Tren,A2
Die,Banane,Banana,Banana,A2
Die,Bank,Bank,Banco,A2
Die,Birne,Pear,Pera,A2
Die,Bitte,Favor,Favor,A2
Die,Blume,Flower,Flor,A2
Die,Briefmarke,Stamp,Estampilla,A2
Die,Butter,Butter,Manteca,A2
Die,CD,Cd,Cd,A2
Die,Creme,Cream,Crema,A2
Die,Dame,Lady,Dama,A2
Die,Dauer,Duration,Duración,A2
Die,Disco,Discotheque,Discoteca,A2
Die,Dose,Can,Lata,A2
Die,Durchsage,Ad,Anuncio,A2
Die,Dusche,Shower,Ducha,A2
Die,E-Mail,E-Mail,Email,A2
Die,Ecke,Corner,Esquina,A2
Die,Ehefrau,Wife,Esposa,A2
Die,Einführung,Introduction,Introducción,A2
Die,Einladung,Invitation,Invitación,A2
Die,Eltern,Parents,Padres,A2
Die,Enkelin,Granddaughter,Nieta,A2
Die,Entschuldigung,Sorry,Disculpa,A2
Die,Erfahrung,Experience,Experencia,A2
Die,Erlaubnis,Excuse Me,Permiso,A2
Die,Ermäßigung,Reduction,Rebaja,A2
Die,Fabrik,Factory,Fábrica,A2
Die,Fähre,Ferry,Ferry,A2
Die,Fahrkarte,Ticket,Boleto,A2
Die,Familie,Family,Familia,A2
Die,Farbe,Colour,Color,A2
Die,Ferien,Holidays,Vacaciones,A2
Die,Feuerwehr,Firefighters,Bomberos,A2
Die,Firma,Company,Empresa,A2
Die,Flasche,Bottle,Botella,A2
Die,Frage,Question,Pregunta,A2
Die,Frau,Woman,Mujer,A2
Die,Freizeit,Free Time,Tiempo Libre,A2
Die,Frist,Term,Plazo,A2
Die,Führung,Guide,Guía,A2
Die,Gabel,Fork,Tenedor,A2
Die,Garage,Garage,Garaje,A2
Die,Garantie,Warranty,Garantia,A2
Die,Gebühr,Share,Cuota,A2
Die,Geldbörse,Wallet,Cartera,A2
Die,Geschwister,Brothers,Hermanos,A2
Die,Grenze,Border,Frontera,A2
Die,Grippe,Flu,Gripe,A2
Die,Größe,Size,Tamaño,A2
Die,Großeltern,Grandparents,Abuelos,A2
Die,Großmutter,Grandmother,Abuela,A2
Die,Gruppe,Group,Grupo,A2
Die,Halbpension,Half Pension,Media Pensión,A2
Die,Halle,Room,Sala,A2
Die,Haltestelle,Stop,Parada,A2
Die,Hand,Hand,Mano,A2
Die,Hausaufgabe,Task,Tarea,A2
Die,Hausfrau,Domestic Employee,Empleada Domestica,A2
Die,Heimat,Homeland,Patria,A2
Die,Heizung,Heating,Calefacción,A2
Die,Hilfe,Help,Ayuda,A2
Die,Hochzeit,Wedding,Boda,A2
Die,Hose,Pants,Pantalón,A2
Die,Idee,Idea,Idea,A2
Die,Industrie,Industry,Industria,A2
Die,Information,Information,Información,A2
Die,Jacke,Jacket,Campera,A2
Die,Kamera,Camera,Cámara,A2
Die,Kanne,Jug,Jarra,A2
Die,Karte,Card,Tarjeta,A2
Die,Kartoffel,Father,Papa,A2
Die,Kasse,Box,Caja,A2
Die,Kassette,Cassette,Cassette,A2
Die,Katze,Cat,Gato,A2
Die,Kenntnisse,Knowledge,Conocimientos,A2
Die,Kette,Necklace,Collar,A2
Die,Kirche,Church,Iglesia,A2
Die,Klasse,Class,Clase,A2
Die,Kleidung,Clothing,Ropa,A2
Die,Kneipe,Pub,Pub,A2
Die,Kontrolle,Control,Control,A2
Die,Kosmetik,Cosmetic,Cosmetico,A2
Die,Krankenkasse,Health Insurance,Seguro Medico,A2
Die,Krankheit,Disease,Enfermedad,A2
Die,Kreditkarte,Credit Card,Tarjeta De Crédito,A2
Die,Kreuzung,Crossroads,Encrucijada,A2
Die,Küche,Kitchen,Cocina,A2
Die,Kündigung,Termination,Terminación,A2
Die,Lampe,Lamp,Lámpara,A2
Die,Landschaft,Landscape,Paisaje,A2
Die,Lebensmittel,Foods,Alimentos,A2
Die,Lehre,Teaching,Enseñanza,A2
Die,Leute,People,Gente,A2
Die,Lösung,Solution,Solución,A2
Die,Luft,Air,Aire,A2
Die,Lust,Wish,Deseo,A2
Die,Maschine,Machine,Máquina,A2
Die,Mehrwertsteuer,Value Added,Valor Agregado,A2
Die,Meinung,Opinion,Opinión,A2
Die,Menge,Quantity,Cantidad,A2
Die,Miete,Rental,Alquiler,A2
Die,Milch,Milk,Leche,A2
Die,Mitte,Half,Mitad,A2
Die,Mitteilung,Release,Comunicado,A2
Die,Möbel,Furniture,Muebles,A2
Die,Mode,Fashion,Moda,A2
Die,Mülltonne,Trash Can,Bote De Basura,A2
Die,Musik,Music,Música,A2
Die,Mutter,Mother,Madre,A2
Die,Nachrichten,News,Noticias,A2
Die,Nähe,Closeness,Cercanía,A2
Die,Natur,Nature,Naturaleza,A2
Die,Note,Note,Nota,A2
Die,Notiz,Note,Apunte,A2
Die,Nudel,Noodle,Fideo,A2
Die,Nummer,Number,Número,A2
Die,Oma,Grandmother,Abuela,A2
Die,Operation,Operation,Operación,A2
Die,Orange,Orange,Naranja,A2
Die,Ordnung,Order,Órden,A2
Die,Panne,Breakdown,Desglose,A2
Die,Papiere,Documentation,Documentación,A2
Die,Partnerin,Partner,Compañera,A2
Die,Party,Party,Fiesta,A2
Die,Pause,Pause,Pausa,A2
Die,Pension,Retirement,Jubilación,A2
Die,Polizei,Policeman,Policía,A2
Die,PommesFrites,Potato Chips,Papas Fritas,A2
Die,Post,Mail,Correo,A2
Die,Postleitzahl,Postal Code,Código Postal,A2
Die,Praxis,Consulting Room,Consultorio,A2
Die,Prüfung,Exam,Exámen,A2
Die,Qualität,Quality,Calidad,A2
Die,Quittung,Receipt,Recibo,A2
Die,Rechnung,Bill,Cuenta,A2
Die,Reinigung,Cleaning,Limpieza,A2
Die,Reise,Trip,Viaje,A2
Die,Reparatur,Arrangement,Arreglo,A2
Die,Rezeption,Reception,Recepción,A2
Die,Rose,Rose,Rosa,A2
Die,S-Bahn,Metropolitan Train,Tren Metropolitano,A2
Die,Sache,Thing,Cosa,A2
Die,Schmerzen,Pain,Dolor,A2
Die,Schokolade,Chocolate,Chocolate,A2
Die,Schule,School,Colegio,A2
Die,Schwester,Sister,Hermana,A2
Die,Sehenswürdigkeit,Attraction,Atracción,A2
Die,Seife,Soap,Jabón,A2
Die,Sekretärin,Secretary,Secretaria,A2
Die,Sendung,Transmission,Trasmisión,A2
Die,Senioren(pl.),Adults,Adultos,A2
Die,Sonne,Sun,Sol,A2
Die,Sorge,Concern,Preocupación,A2
Die,Speisekarte,Menu,Menú,A2
Die,Sprache,Tongue,Lengua,A2
Die,Sprechstunde,Query,Consulta,A2
Die,Spülmaschine,Dishwasher,Lavavajillas,A2
Die,Stadt,City,Ciudad,A2
Die,Stelle,Place,Lugar,A2
Die,Steuer,Tax,Impuesto,A2
Die,Straße,Street,Calle,A2
Die,Straßenbahn,Trolley Car,Tranvía,A2
Die,Stunde,Time,Hora,A2
Die,Suppe,Soup,Sopa,A2
Die,Tankstelle,Fuel Station,Gasolinera,A2
Die,Tasche,Bag,Bolsa,A2
Die,Tasse,Cup,Taza,A2
Die,Tochter,Daughter,Hija,A2
Die,Toilette,Bathroom,Baño,A2
Die,Tomate,Tomato,Tomate,A2
Die,Treppe,Stairs,Escalera,A2
Die,Tür,Door,Puerta,A2
Die,Tüte,Handbag,Bolso,A2
Die,U-Bahn,Subway,Subte,A2
Die,Uhr,Watch,Reloj,A2
Die,Universität,College,Universidad,A2
Die,Unterkunft,Accommodation,Alojamiento,A2
Die,Unterschrift,Firm,Firma,A2
Die,Untersuchung,Investigation,Investigación,A2
Die,Verbindung,Connection,Conexión,A2
Die,Versicherung,Sure,Seguro,A2
Die,Verspätung,Delay,Retraso,A2
Die,Vorsicht,Attention,Atención,A2
Die,Vorwahl,Characteristic,Característica,A2
Die,Wäsche,Laundry,Lavandería,A2
Die,Welt,World,Mundo,A2
Die,Werkstatt,Workshop,Taller,A2
Die,Wirtschaft,Economy,Economía,A2
Die,Wohnung,Department,Departamento,A2
Die,Wolke,Cloud,Nube,A2
Die,Wurst,Sausage,Salchicha,A2
Die,Zahl,Number,Número,A2
Die,Zeit,Weather,Tiempo,A2
Die,Zeitschrift,Magazine,Revista,A2
Die,Zeitung,Newspaper,Periódico,A2
Die,Zigarette,Cigarette,Cigarillo,A2
Die,Zitrone,Lemon,Limón,A2